Name,Phone,email,Address,lat,lng,Gender,DOB,Helps,Type
David Collins,(898)8774348,obauer@example.org,"591 Andrew Ramp, Gainesville, FL",29.634812,-82.327624,Male,1999-05-31,"Rescue,Water,Follow-up,Counseling,Trauma Support",Individual
Christine Lawson MD,+17995927027x84029,phillipsdavid@example.net,"549 Todd Isle, Gainesville, FL",29.642356,-82.350402,Other,1995-09-10,"Insurance,Toolkits,Crowd Control,Alerts,Recovery",Individual
John Conner,0015294030560x5666,llyons@example.org,"176 Jack Groves Apt. 239, Gainesville, FL",29.631734,-82.379377,Other,1972-09-12,"Supplies,Shelter,Temporary Shelter,Temporary Schools,Counseling,Clothing",Individual
Rita Shields DVM,657.433.6498,xtaylor@example.net,"092 Veronica Forge Suite 225, Gainesville, FL",29.632925,-82.351436,Male,1967-12-06,"Rescue,Vaccination,Alerts,Assessment,Communication,Language Help",Individual
Eric Taylor,(786)6923093x31247,amanda66@example.org,"822 Melissa Junction Apt. 996, Gainesville, FL",29.625782,-82.354504,Female,1965-05-16,"Cash Aid,Assessment,Contacts,Medical Camps,Awareness",Individual
Dr. John Garrett,+13168742807x784,hendersonmichele@example.net,"110 Sean Ranch, Gainesville, FL",29.651908,-82.371089,Other,1957-01-17,"Construction,Power Supply,Drills",Individual
Calvin Reeves,+16978525445x31081,shannonfoster@example.org,"598 Victoria Route Suite 655, Gainesville, FL",29.65759,-82.39224,Other,1966-01-28,"Clearance,Shelter,Recruitment,Follow-up,Cash Aid,Emergency Kits",Individual
Jesse Garcia,7299528563x789,jsantos@example.org,"6506 Hardy Port Suite 338, Gainesville, FL",29.658705,-82.336438,Male,1974-12-31,"Pet Care,Hygiene,Babysitting,Clean-up",Individual
Richard Johnson,6453772257x588,stephaniesimmons@example.org,"039 Graves Plain, Gainesville, FL",29.652859,-82.398432,Female,1949-03-31,"Medical Camps,Supplies,Life Skills,Power Supply",Individual
Christina Russell,920.461.8643,carmen36@example.net,"0566 Angela Roads Suite 004, Gainesville, FL",29.667517,-82.378483,Other,1951-01-21,"Triage,Mental Health,Medical",Individual
