Name,Phone,Email,Address,Latitude,Longitude,Gender,DOB,Helps
Jacqueline Mason,+19618347063x9491,benjamin33@gmail.com,"79456 Shawn Island, Gainesville, FL",29.634679,-82.319546,Other,1975-09-27,Follow-up;Water;Job Aid;Financial Aid;Recruitment;Evacuation
Tara Allison,1698169976x0425,tamara23@perez-davis.com,"3485 Bernard Knolls, Gainesville, FL",29.665869,-82.393834,Other,1952-06-29,Remapping;Waste Removal;Hazard Map;Language Help
Jamie Roberts,+17643493543x603,zbradley@vargas.com,"80337 Kimberly Mill Apt. 457, Gainesville, FL",29.632147,-82.366773,Other,1962-08-28,Job Aid;Crowd Control;Legal;Sanitation;Recruitment;Resource Sharing
Karen Gray,8327131913x672,wanglarry@james-sanchez.com,"177 Martinez Branch, Gainesville, FL",29.652676,-82.347428,Female,1951-04-16,Collection;Resource Sharing;Financial Aid;Medical Camps;Legal;School
Stephen Davis,(726)4684426,hallcolton@williams.net,"551 David Cliff, Gainesville, FL",29.637362,-82.345544,Male,1958-02-16,Crowd Control;Hygiene;Evacuation;Blood Donation
Catherine Durham,0015317109322x5439,michaeltownsend@gmail.com,"660 Daniel Extension, Gainesville, FL",29.62062,-82.321217,Female,1950-03-04,Resource Sharing;Information;Remapping;Alerts;Training;Assessment
Jennifer Mora,866.866.1230,craig23@hotmail.com,"3581 Maria Crest, Gainesville, FL",29.655514,-82.323893,Other,1979-02-22,Contacts;Legal;Evacuation;Cash Aid;Medication;Lost & Found
Elizabeth Caldwell,899.911.9942x72106,juareztara@washington.com,"35769 Walls Highway Suite 558, Gainesville, FL",29.672599,-82.338922,Male,1952-02-25,Lost & Found;Counseling;Food Packs;Clearance
Neil Santos,(739)7940341x0365,dunnsarah@yahoo.com,"0498 James Squares, Gainesville, FL",29.656609,-82.376745,Other,1973-03-18,Training;Supplies;Security
Jessica Bowers,7048270294x55501,christinastanley@stevens-cruz.com,"647 Emma Corner, Gainesville, FL",29.675467,-82.361106,Female,1997-06-24,Toolkits;Support;Transport;Legal;Medical Camps
Frederick Holmes,854.828.7807x6953,cbentley@hotmail.com,"5283 Dawn Parks Apt. 478, Gainesville, FL",29.624129,-82.379812,Other,1962-11-20,Clothing;Psych Support;Cash Aid
Virginia Johnson,0010885413747x3358,bauerjoseph@yahoo.com,"889 Williams Common, Gainesville, FL",29.633006,-82.355809,Male,1967-04-03,Water;Relocation;Psych Support;Temporary Shelter;Job Aid;Legal;Documentation
Jasmine Johnson,7384432287,vanessa53@hotmail.com,"63947 Michelle Vista Apt. 950, Gainesville, FL",29.63364,-82.308174,Female,1957-11-17,Information;Mental Health;Evacuation;Collection
Harry Ramirez,0016635363479x3814,ymills@brock.com,"34479 Chris Creek Suite 794, Gainesville, FL",29.65657,-82.391636,Other,1992-12-14,Life Skills;Drills;Medication
Carl Roberts,+19074161667x15828,hernandezbenjamin@lawson.com,"363 Robert Square Apt. 971, Gainesville, FL",29.638111,-82.302562,Male,1975-07-08,Triage;Counseling;Construction;Documentation;Security;Drills
David Jones,2321139755,tyrone50@jackson-fields.com,"842 Keller Courts, Gainesville, FL",29.621763,-82.334326,Other,1993-11-05,Communication;Lost & Found;First Aid;Job Aid;Crowd Control
Dwayne Hester,0015844923129x281,tmartinez@hotmail.com,"47643 Sydney Keys Apt. 149, Gainesville, FL",29.669661,-82.305014,Male,1982-05-24,Waste Removal;Follow-up;Medical;Triage;Helpline
Colton Clark,+12235904034x1882,douglasferrell@hotmail.com,"604 Young Fork Apt. 786, Gainesville, FL",29.653889,-82.357359,Male,1998-11-01,Language Help;Crowd Control;Resource Sharing
Richard Clarke,+14560989292x38011,sspencer@hotmail.com,"18458 Diane Walks Suite 979, Gainesville, FL",29.671712,-82.363323,Other,1985-04-24,Resource Sharing;Alerts;Water;Language Help;Construction;Follow-up;Recruitment
Mason Dunn,0010272096074,qmiller@torres-may.info,"298 Jenny Squares Suite 567, Gainesville, FL",29.635492,-82.37895,Other,1986-10-30,Life Skills;Supplies;Contacts;Awareness;Blood Donation;Recruitment
Michael Hansen,+14931112193,johnsoncindy@harvey-curtis.org,"8579 Nathaniel Knoll Apt. 964, Gainesville, FL",29.642115,-82.338074,Female,1998-08-22,Legal;Psych Support;Debris Removal;Drills;Lost & Found;Clothing;Information
Katherine James,0011466373422x52129,nharvey@yahoo.com,"8640 Robert Meadows Apt. 711, Gainesville, FL",29.637295,-82.324089,Female,1950-09-08,Construction;Equipment;Evacuation;Assessment;Triage;Communication;Recovery
Paula Charles,689.943.5517x39442,snyderwilliam@medina.com,"960 Matthew Knolls Suite 225, Gainesville, FL",29.628342,-82.350899,Male,1958-05-06,Helpline;Clearance;Hygiene;Medical;Follow-up;Job Aid
Tyler Castro,0017590831289,trujillojay@cook-savage.info,"606 Adams Port Suite 878, Gainesville, FL",29.658424,-82.301963,Male,1992-04-09,Documentation;Medication;Relief;Assessment;Clean-up
Savannah Ballard,6365019789x255,vhenry@mendez.com,"87555 Christopher Union, Gainesville, FL",29.627784,-82.329162,Other,1951-10-25,Medical Camps;Clothing;Insurance;Helpline
Ruth Williams,818.197.1562x199,pevans@mason.com,"9587 Miles Trail Apt. 527, Gainesville, FL",29.649165,-82.397999,Other,1994-09-16,Temporary Shelter;Follow-up;Rescue;Counseling;Contacts;Coordination
Kevin Butler,0019015941777x3171,robertroberts@gordon.com,"255 Frederick Terrace Suite 165, Gainesville, FL",29.624539,-82.382255,Other,1967-04-10,Temporary Shelter;Housing;Clean-up;Alerts;Coordination
David Swanson,884.814.2219x269,lnewton@hotmail.com,"21201 Jason Course, Gainesville, FL",29.676551,-82.384856,Male,1998-04-06,Support;Follow-up;Coordination;Relocation;Blood Donation
Thomas Spencer,2469111014x1801,donald14@yahoo.com,"5392 Eric Ranch Suite 338, Gainesville, FL",29.669623,-82.341249,Other,1986-08-17,Collection;Mental Health;Equipment;Insurance;Crowd Control;Temporary Schools;Counseling
Vanessa Stephens,477.307.3580x318,robinlee@hotmail.com,"7971 Tanner Manor, Gainesville, FL",29.666073,-82.328826,Male,1965-07-26,Medical Camps;Debris Removal;Crowd Control
Christopher Rich,0012360845021x71278,parktommy@hotmail.com,"7702 Hopkins Crescent, Gainesville, FL",29.6217,-82.342055,Male,1954-06-14,Emergency Kits;Toolkits;Needs Assessment;Medical;Hazard Map
Nicole Michael,941.144.9146x8440,youngamy@gonzalez.net,"84096 Susan Creek, Gainesville, FL",29.677415,-82.304568,Male,1956-07-23,Shelter;Hazard Map;Documentation;Legal;Construction
Steven Carr,3638846489,oarias@thomas.com,"3701 Morris Brook Suite 467, Gainesville, FL",29.644109,-82.318818,Male,1981-10-13,Documentation;Transport;Debris Removal
Christopher Scott,983.145.7036,seth91@hotmail.com,"3411 Adams Ways Suite 602, Gainesville, FL",29.621717,-82.352155,Female,1971-03-10,School;Recruitment;Health Kits
Brandon Bennett,(355)7746053x713,chaneybrian@yahoo.com,"8638 Benjamin Forges Apt. 683, Gainesville, FL",29.65094,-82.311253,Male,1984-06-24,Cash Aid;Power Supply;Job Aid
Justin Conner,(538)8158570,xreed@gmail.com,"5917 Trevor Junctions Apt. 120, Gainesville, FL",29.654853,-82.381524,Other,1978-06-29,Rebuild;Follow-up;Security;Recruitment;Medication;Food
Andrew Hanson,4227349363x87220,samuel39@gmail.com,"25374 Mitchell Overpass, Gainesville, FL",29.662148,-82.381924,Male,1952-12-10,Documentation;Drills;Mental Health;Toolkits;Temporary Shelter;Financial;Pet Care
Patricia Blair,0015068105716x36205,fking@gmail.com,"301 Mejia Knolls Suite 423, Gainesville, FL",29.635789,-82.321194,Male,1982-11-13,Job Aid;Documentation;Alerts;Drills;Relief
Shawn Stewart,908.355.9049x80136,lori54@thompson.com,"5077 Little Club Suite 784, Gainesville, FL",29.624266,-82.312699,Female,1983-04-08,Resource Sharing;Trauma Support;Awareness;Remapping;Legal
Erin Coleman,(970)8151756,calebsmith@carr.com,"915 Edwards Hills Suite 171, Gainesville, FL",29.64519,-82.331785,Female,1989-10-20,Temporary Shelter;Damage Reports;Power Supply;Debris Removal
Renee Bishop,+12796237915,njackson@graham.info,"197 Thornton Ferry Suite 509, Gainesville, FL",29.620987,-82.387538,Male,1982-06-26,Food;First Aid;Documentation;Water;Alerts;Lost & Found;Triage
Brittany Black,5373049468,lewisdoris@gmail.com,"2127 Thomas Locks Suite 490, Gainesville, FL",29.630135,-82.331967,Female,1958-12-06,Clean-up;Housing;Medical;Training;Documentation;Collection
Jennifer Porter DDS,(209)2831810x57368,jodiwest@moore.com,"6460 Brandon Extensions, Gainesville, FL",29.659338,-82.397084,Other,1991-05-25,First Aid;Power Supply;Sandbags;Trauma Support
Mark Wright,(348)6215577x1976,sarahuynh@johnson-boyer.info,"55753 Kelly Stream Apt. 426, Gainesville, FL",29.630183,-82.344832,Other,1973-03-26,Awareness;Coordination;Life Skills;Contacts;Counseling;Trauma Support;Training
Justin Russell,7193126163x81240,kallen@gmail.com,"88431 Thomas Walks Suite 079, Gainesville, FL",29.621312,-82.345156,Female,1962-03-24,Construction;Relocation;Coordination
Michael Nelson,4283494872,josephsarah@gmail.com,"278 Marcus Springs Suite 023, Gainesville, FL",29.651856,-82.341527,Male,1952-04-27,Collection;Sandbags;Job Aid;Housing
Elizabeth Galvan,5319337894,egriffin@gmail.com,"85016 Avila Circle, Gainesville, FL",29.653386,-82.354206,Other,1950-04-21,Housing;Security;Job Aid;Power Supply;Triage;Life Skills
Laurie Dean,647.642.0471x1513,pauladyer@hotmail.com,"24858 Margaret Prairie Suite 064, Gainesville, FL",29.650019,-82.324934,Male,1971-08-13,Insurance;Rebuild;Communication;Recruitment
Julia Lucas,9954382652,gcortez@gmail.com,"33454 Richard Vista Apt. 622, Gainesville, FL",29.67085,-82.312885,Male,1954-08-31,Training;Childcare;Legal;Medical
